HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
rr_f1o10.ibi,8202,5,1048,712,880.9,880,55.6,42.9,160,2,21,34.5,68.4,4.4,11.6,252,2149.64,583.19,106.74,2839.58,75.7,20.5,3.8,0.845,0.155,5.463,0,0.04,0.37,1039.73,209.01,42.72,1291.46,80.5,16.2,3.3,0.83,0.17,4.893,0,0.04,0.37,0.005,0.002,0,0.007,70.3,24.7,5,0.831,0.169,4.908,0,0.04,0.19,14.8,77.2,1.739,1.12,1.484,0.988,184.86,258.12,42.59,485.57,38.1,53.2,8.8,0.858,0.142,6.061,0.04,0.04,0.37,16.7778,7,20.41,4.68,32.09,21.8,63.6,14.6,0.813,0.187,4.36,0.04,0.04,0.21,23.5789,1145.87,593.22,114.51,1853.6,61.8,32,6.2,0.838,0.162,5.181,0.02,0.04,0.36,Inf
rr_f1y01.ibi,8589,61,1108,592,825,816,84.5,72,3959,46.1,78.4,86.3,73.5,7.4,12,370.9,2346.68,1318.66,2653.14,6318.47,37.1,20.9,42,0.332,0.668,0.497,0,0.1,0.31,938.1,556.58,1085.32,2580.01,36.4,21.6,42.1,0.339,0.661,0.513,0,0.13,0.31,0.006,0.003,0.007,0.016,35.6,20.3,44.1,0.315,0.685,0.46,0,0.13,0.32,55.4,105.9,2.236,0.871,0.745,0.958,158.77,528.9,1029.6,1717.26,9.2,30.8,60,0.339,0.661,0.514,0,0.09,0.3,0.19543,5.64,40.51,84.8,130.95,4.3,30.9,64.8,0.323,0.677,0.478,0.04,0.11,0.31,0.17136,1248.77,1278.61,2655.43,5182.8,24.1,24.7,51.2,0.325,0.675,0.482,0.01,0.1,0.3,14.4863
rr_f1y02.ibi,6959,64,1304,720,1031.6,1048,95.5,78.6,3169,45.5,74.3,45.1,58.7,6,10.8,383.3,3586.91,1799.96,2043.16,7430.03,48.3,24.2,27.5,0.468,0.532,0.881,0,0.08,0.26,1751.1,708.24,763.13,3222.47,54.3,22,23.7,0.481,0.519,0.928,0,0.04,0.25,0.011,0.005,0.005,0.021,52.4,24,23.5,0.505,0.495,1.021,0.01,0.07,0.22,52.5,124.4,2.227,0.989,0.922,1.015,301.9,756.56,812.97,1871.43,16.1,40.4,43.4,0.482,0.518,0.931,0.04,0.04,0.24,0.42814,13.15,64.09,75.07,152.31,8.6,42.1,49.3,0.461,0.539,0.854,0.04,0.04,0.25,0.40426,2442.75,1795.82,2142.65,6381.22,38.3,28.1,33.6,0.456,0.544,0.838,0.01,0.06,0.24,44.5778
rr_f1y03.ibi,7607,26,1148,764,951.3,948,64.3,52.4,1033,13.6,34.3,35.9,63.4,4.3,13.3,312,1644.88,1464.76,369.39,3479.02,47.3,42.1,10.6,0.799,0.201,3.965,0,0.09,0.17,660.68,578.57,141.21,1380.47,47.9,41.9,10.2,0.804,0.196,4.097,0,0.1,0.15,0.007,0.008,0.002,0.017,40.6,48.6,10.8,0.818,0.182,4.496,0.01,0.09,0.18,24.2,87.7,2.085,0.914,1.245,0.905,131.75,588.03,150.87,870.64,15.1,67.5,17.3,0.796,0.204,3.898,0,0.09,0.15,8.4314,5.35,44.66,13.96,63.97,8.4,69.8,21.8,0.762,0.238,3.2,0.04,0.09,0.38,13.5625,960.68,1440.65,426.18,2827.51,34,51,15.1,0.772,0.228,3.38,0.01,0.09,0.15,Inf
rr_f1y04.ibi,5441,43,1672,940,1318,1324,115.1,94.6,3669,67.4,106.8,60.5,45.9,4.3,10.7,434.6,6696.49,2133.78,2306.74,11137.01,60.1,19.2,20.7,0.481,0.519,0.925,0,0.07,0.31,2613.18,871.46,932.6,4417.25,59.2,19.7,21.1,0.483,0.517,0.934,0,0.04,0.31,0.01,0.004,0.005,0.019,54.1,20,26,0.435,0.565,0.769,0,0.07,0.3,75.5,144.2,2.6,0.984,0.91,0.971,442.26,909.99,916.58,2268.82,19.5,40.1,40.4,0.498,0.502,0.993,0.04,0.04,0.31,0.57947,18.06,76.51,122.56,217.13,8.3,35.2,56.4,0.384,0.616,0.624,0.04,0.04,0.31,0.30571,3620.45,2110.13,2368.42,8099,44.7,26.1,29.2,0.471,0.529,0.891,0.01,0.04,0.3,107.6364
rr_f1y05.ibi,6921,99,1352,744,1049,1056,99.1,73.3,1940,28,53.5,61.4,57.7,5.8,11.8,437,4020.04,2299.95,785.9,7105.89,56.6,32.4,11.1,0.745,0.255,2.927,0,0.08,0.31,1545.07,1051.61,324.8,2921.48,52.9,36,11.1,0.764,0.236,3.238,0,0.08,0.3,0.011,0.006,0.002,0.019,57.3,32.4,10.3,0.758,0.242,3.134,0,0.07,0.16,37.8,135,1.965,0.979,1.254,0.907,409.84,944.44,310.35,1664.63,24.6,56.7,18.6,0.753,0.247,3.043,0.04,0.04,0.31,3.7255,18.23,80.6,32.74,131.58,13.9,61.3,24.9,0.711,0.289,2.462,0.04,0.04,0.31,3.6238,2695.06,2285.62,825.95,5806.64,46.4,39.4,14.2,0.735,0.265,2.767,0.01,0.08,0.3,Inf
rr_f1y06.ibi,7043,11,1300,716,1021.1,1032,98.5,84.2,2037,28.9,53.6,43.4,59.4,6.2,11.5,419.8,5498.07,2346.96,926.4,8771.43,62.7,26.8,10.6,0.717,0.283,2.533,0,0.09,0.24,2005.53,871.56,340.6,3217.69,62.3,27.1,10.6,0.719,0.281,2.559,0,0.04,0.24,0.009,0.004,0.002,0.015,60.5,26.9,12.5,0.682,0.318,2.146,0.02,0.07,0.23,37.9,134,2.055,1.057,1.214,1.014,495.3,1030.26,373.11,1898.67,26.1,54.3,19.7,0.734,0.266,2.761,0.04,0.04,0.24,5.5479,18.71,82.62,35.99,137.32,13.6,60.2,26.2,0.697,0.303,2.296,0.04,0.08,0.24,5.7941,4209.26,2324.09,1011.49,7544.85,55.8,30.8,13.4,0.697,0.303,2.298,0.01,0.09,0.23,Inf
rr_f1y07.ibi,5943,0,1796,748,1216.7,1228,201,162.9,3738,62.9,135.8,113,50.8,9,16.2,949.8,21432.02,8163.89,6227.1,35823.01,59.8,22.8,17.4,0.567,0.433,1.311,0,0.04,0.2,10387.76,3362.96,2583.21,16333.93,63.6,20.6,15.8,0.566,0.434,1.302,0,0.04,0.2,0.004,0.001,0.001,0.006,60.5,25.1,14.4,0.635,0.365,1.738,0.01,0.04,0.19,96,267.6,1.947,1.081,1.03,1.11,1455.91,3243.14,2406.48,7105.54,20.5,45.6,33.9,0.574,0.426,1.348,0.04,0.14,0.18,1.2642,54.97,267.99,228.04,551,10,48.6,41.4,0.54,0.46,1.175,0.04,0.04,0.2,1.0489,11652.47,8118.67,6409,26180.14,44.5,31,24.5,0.559,0.441,1.267,0.01,0.04,0.19,177.5062
rr_f1y08.ibi,7254,30,1228,724,1001.9,1012,90.7,74.3,2141,29.5,52.1,49.1,60.4,5.8,12.6,393.8,4064.69,1857.1,933.62,6855.41,59.3,27.1,13.6,0.665,0.335,1.989,0,0.09,0.15,1710.94,793.29,397.74,2901.97,59,27.3,13.7,0.666,0.334,1.994,0,0.11,0.15,0.007,0.003,0.001,0.011,60.1,27.4,12.5,0.686,0.314,2.186,0,0.09,0.18,36.8,122.9,2.034,1.032,1.163,1.004,361.76,774.37,378.02,1514.15,23.9,51.1,25,0.672,0.328,2.048,0.04,0.04,0.15,2.4255,13.82,65.72,36.58,116.12,11.9,56.6,31.5,0.642,0.358,1.797,0.04,0.04,0.35,2.3913,2730.39,1806.77,1013.11,5550.27,49.2,32.6,18.3,0.641,0.359,1.783,0.01,0.09,0.15,Inf
rr_f1y09.ibi,8014,40,1124,640,900.3,916,87.5,68.8,1506,18.8,41.2,48.9,67.3,7.1,12,363,3983.45,1974.49,586.5,6544.44,60.9,30.2,9,0.771,0.229,3.367,0,0.09,0.28,1634.02,706.67,247.24,2587.92,63.1,27.3,9.6,0.741,0.259,2.858,0,0.04,0.29,0.009,0.005,0.001,0.014,59.8,31.8,8.3,0.792,0.208,3.819,0,0.05,0.17,29.1,120.3,1.773,1.021,1.344,0.949,374.35,819.5,236.2,1430.04,26.2,57.3,16.5,0.776,0.224,3.47,0.04,0.04,0.27,5.4,15.55,69.94,24.35,109.84,14.2,63.7,22.2,0.742,0.258,2.872,0.04,0.04,0.28,6.1538,2302.75,2035.23,631.77,4969.75,46.3,41,12.7,0.763,0.237,3.221,0.01,0.04,0.15,Inf
rr_f1y10.ibi,8633,20,1108,596,831.5,824,85.6,69.9,2873,33.3,60.8,47.6,72.9,7.5,11.6,368,3028.57,1987.66,1554.82,6571.05,46.1,30.2,23.7,0.561,0.439,1.278,0,0.11,0.3,1319.32,778.84,575.09,2673.25,49.4,29.1,21.5,0.575,0.425,1.354,0,0.11,0.3,0.007,0.005,0.004,0.016,46.1,30.4,23.6,0.563,0.437,1.289,0,0.04,0.29,43,113.2,1.948,0.886,1.043,0.883,228.02,786.75,611.63,1626.4,14,48.4,37.6,0.563,0.437,1.286,0,0.08,0.3,1.083,8.89,59.79,50.62,119.3,7.5,50.1,42.4,0.542,0.458,1.181,0.04,0.04,0.3,1.0351,1392.4,1996.17,1595.24,4983.81,27.9,40.1,32,0.556,0.444,1.251,0.01,0.1,0.29,Inf
rr_f2o01.ibi,7106,50,1224,716,972.5,980,64.1,40.9,610,8.6,36.7,47,62,4.3,9.6,269.9,1537.56,664.19,500.84,2702.58,56.9,24.6,18.5,0.57,0.43,1.326,0,0.08,0.21,704.77,247.77,190.19,1142.73,61.7,21.7,16.6,0.566,0.434,1.303,0,0.09,0.21,0.003,0.002,0.001,0.006,53.2,27.5,19.2,0.588,0.412,1.43,0,0.08,0.19,26,86.9,1.977,0.887,1.017,0.9,73.86,261.46,193.97,529.29,14,49.4,36.6,0.574,0.426,1.348,0.04,0.07,0.21,1.1754,2.92,20.95,17.35,41.21,7.1,50.8,42.1,0.547,0.453,1.207,0.04,0.08,0.21,1.0227,522.56,662.81,522.55,1707.92,30.6,38.8,30.6,0.559,0.441,1.268,0.01,0.08,0.2,599.8261
rr_f2o02.ibi,6318,24,1256,948,1103.9,1104,41.2,31.5,383,6.1,30.6,25.9,54.4,2,9,173.3,1117.67,240.45,267.48,1625.61,68.8,14.8,16.5,0.473,0.527,0.899,0,0.06,0.29,547.11,106.62,104.14,757.87,72.2,14.1,13.7,0.506,0.494,1.024,0,0.04,0.29,0.006,0.002,0.003,0.012,53.2,21.2,25.7,0.452,0.548,0.825,0,0.06,0.29,21.6,54.2,1.904,1.02,0.975,0.992,60.54,104.23,103.78,268.56,22.5,38.8,38.6,0.501,0.499,1.004,0.04,0.04,0.29,0.51803,2.18,8.14,9.77,20.1,10.9,40.5,48.6,0.454,0.546,0.833,0.04,0.04,0.29,0.42222,515.3,240.31,268.87,1024.49,50.3,23.5,26.2,0.472,0.528,0.894,0.01,0.06,0.29,252.5818
rr_f2o03.ibi,6487,64,1216,928,1071.5,1076,43.8,27.2,466,7.2,30.3,32.5,56.1,2.3,8.6,153,1213.72,205.73,233.59,1653.05,73.4,12.4,14.1,0.468,0.532,0.881,0,0.13,0.31,350.92,59.54,73.43,483.89,72.5,12.3,15.2,0.448,0.552,0.811,0,0.04,0.32,0.003,0.001,0.001,0.005,66.1,15.6,18.2,0.462,0.538,0.857,0,0.04,0.31,21.4,58.2,1.864,1.033,0.878,1.074,41.27,85.81,91.6,218.68,18.9,39.2,41.9,0.484,0.516,0.937,0,0.04,0.31,0.51974,1.55,6.71,8.53,16.79,9.2,40,50.8,0.44,0.56,0.787,0.04,0.04,0.32,0.31471,317.72,204.3,230.54,752.56,42.2,27.1,30.6,0.47,0.53,0.886,0.01,0.04,0.3,234.5763
rr_f2o04.ibi,6809,32,1144,860,1021.7,1028,49.6,35.6,804,11.8,32.8,33.1,58.9,3,9.6,168.6,1311.42,337.72,482.13,2131.27,61.5,15.8,22.6,0.412,0.588,0.7,0,0.04,0.22,531.37,114.3,187.79,833.46,63.8,13.7,22.5,0.378,0.622,0.609,0,0.04,0.23,0.003,0.001,0.001,0.004,66.8,15.2,18,0.456,0.544,0.839,0,0.04,0.22,23.2,66.2,2.117,0.94,0.861,0.947,68.47,141.93,187.51,397.91,17.2,35.7,47.1,0.431,0.569,0.757,0.04,0.04,0.23,0.25203,3.04,11.8,16.31,31.15,9.8,37.9,52.4,0.42,0.58,0.724,0.04,0.04,0.23,0.24234,444.29,351.27,496.19,1291.75,34.4,27.2,38.4,0.414,0.586,0.708,0.01,0.04,0.22,17.3778
rr_f2o05.ibi,8397,109,976,688,832.6,840,39.9,23.1,83,1,14.8,31.8,72.2,3.5,7.6,144,480.28,169.7,45.25,695.22,69.1,24.4,6.5,0.789,0.211,3.75,0,0.04,0.34,218.96,68.29,20.68,307.92,71.1,22.2,6.7,0.768,0.232,3.303,0.01,0.04,0.33,0.008,0.003,0.001,0.012,65.9,27.2,7,0.796,0.204,3.912,0,0.06,0.15,10.5,55.5,1.904,1.067,1.38,0.907,65.96,74.99,17.7,158.66,41.6,47.3,11.2,0.809,0.191,4.236,0.04,0.04,0.34,9.5682,2.65,6.02,1.93,10.6,25,56.8,18.2,0.758,0.242,3.127,0.04,0.04,0.18,10.8947,324.96,172.56,46.44,543.96,59.7,31.7,8.5,0.788,0.212,3.716,0.03,0.04,0.31,4659.6667
rr_f2o06.ibi,5216,25,1576,1080,1339.7,1344,80.2,67.4,1099,21.1,43.5,38.7,45,2.8,11.7,356.5,4308.37,1442.99,401.64,6153.01,70,23.5,6.5,0.782,0.218,3.593,0,0.04,0.23,1481.13,562.09,153.11,2196.33,67.4,25.6,7,0.786,0.214,3.671,0,0.04,0.22,0.006,0.002,0.001,0.009,71.9,20.9,7.2,0.744,0.256,2.909,0,0.05,0.17,30.8,109.1,1.85,1.009,1.304,0.896,399.07,633.54,159.45,1192.06,33.5,53.1,13.4,0.799,0.201,3.973,0.04,0.04,0.22,5.3562,13.81,49.24,18.9,81.96,16.9,60.1,23.1,0.723,0.277,2.605,0.04,0.04,0.22,4.575,3094.85,1441.45,435.44,4971.74,62.2,29,8.8,0.768,0.232,3.31,0.02,0.07,0.15,1995.2857
rr_f2o07.ibi,5916,16,1316,1048,1183.1,1180,43.1,35.4,250,4.2,25.6,23.3,50.8,1.9,12,184.3,1325.84,307.22,176.93,1809.99,73.3,17,9.8,0.635,0.365,1.736,0,0.14,0.24,564.43,114.24,67.47,746.14,75.6,15.3,9,0.629,0.371,1.693,0,0.04,0.25,0.004,0.001,0.001,0.006,70.5,18,11.5,0.61,0.39,1.564,0,0.06,0.24,18.1,58.3,1.873,1.065,1.2,0.974,102,136.55,68.99,307.54,33.2,44.4,22.4,0.664,0.336,1.979,0.04,0.04,0.25,1.7353,3.81,10.65,7.03,21.49,17.7,49.5,32.7,0.602,0.398,1.514,0.04,0.04,0.25,1.4086,811.08,303.3,181.18,1295.56,62.6,23.4,14,0.626,0.374,1.674,0.01,0.04,0.24,1075.6154
rr_f2o08.ibi,7060,5,1580,404,992.2,1016,191,172.1,2249,31.9,303.2,35.2,64,19.4,4.1,220.5,1847.31,2840.48,24735.51,29423.3,6.3,9.7,84.1,0.103,0.897,0.115,0,0.11,0.37,816.55,1491.11,12570.34,14877.99,5.5,10,84.5,0.106,0.894,0.119,0,0.15,0.4,0.002,0.003,0.013,0.018,12.4,14.9,72.7,0.17,0.83,0.205,0,0.14,0.37,214.4,164.4,1.009,0.509,0.365,0.585,209.69,1165.42,9606.01,10981.12,1.9,10.6,87.5,0.108,0.892,0.121,0,0.15,0.39,0.1625,12.56,88.81,338.7,440.06,2.9,20.2,77,0.208,0.792,0.262,0.04,0.11,0.37,0.12782,1044.91,2744.65,23743.26,27532.81,3.8,10,86.2,0.104,0.896,0.116,0.01,0.05,0.38,1.9202
rr_f2o09.ibi,6107,2,1344,948,1149.1,1144,59.7,47.4,226,3.7,23.3,34.3,52.4,2.7,11.1,272.3,1895.89,1030.61,83.89,3010.4,63,34.2,2.8,0.925,0.075,12.285,0,0.04,0.26,808.72,426.24,37.48,1272.43,63.6,33.5,2.9,0.919,0.081,11.372,0,0.04,0.15,0.008,0.003,0,0.012,68.5,27.7,3.8,0.88,0.12,7.349,0,0.06,0.25,16.5,82.8,1.676,0.925,1.601,0.729,290.45,426.42,33.48,750.35,38.7,56.8,4.5,0.927,0.073,12.735,0.04,0.04,0.25,32.2857,13.22,33.84,4.66,51.72,25.6,65.4,9,0.879,0.121,7.266,0.04,0.04,0.22,55.125,1247.64,1083.21,92.5,2423.35,51.5,44.7,3.8,0.921,0.079,11.711,0.02,0.04,0.15,Inf
