HRV Method,IBI Info,,Time Domain,,,,,,,,,,,,,,Freq Domain: Welch,,,,,,,,,,,,,Freq Domain: AR,,,,,,,,,,,,,Freq Domain: LS,,,,,,,,,,,,,Poincare,,Nonlinear,,,,Time-Freq: AR,,,,,,,,,,,,,,Time-Freq: Lomb,,,,,,,,,,,,,,Time-Freq: Wavelet,,,,,,,,,,,,,
HRV Variable,ibi,outliers,max,min,mean,median,SDNN,SDANN,NNx,pNNx,RMSSD,SDNNi,meanHR,sdHR,HRVTi,TINN,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,SD1,SD2,sampen,alpha,alpha1,alpha2,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF,aVLF,aLF,aHF,aTotal,pVLF,pLF,pHF,nLF,nHF,LFHF,peakVLF,peakLF,peakHF,rLFHF
rr_f1o10.ibi,8240,0,1068,564,880.2,880,57.4,43.2,165,2,21.8,36.3,68.5,4.6,8.9,267.8,2333.9,589.17,109.9,3032.97,77,19.4,3.6,0.843,0.157,5.361,0,0.04,0.38,1081.17,216.76,43.69,1341.62,80.6,16.2,3.3,0.832,0.168,4.961,0,0.04,0.37,0.004,0.002,0,0.006,69.2,25.6,5.2,0.831,0.169,4.934,0,0.07,0.17,15.4,79.7,1.739,1.13,1.45,1.007,187.64,261.47,44.46,493.57,38,53,9,0.855,0.145,5.881,0.04,0.04,0.23,16.2143,6.99,20.31,4.78,32.08,21.8,63.3,14.9,0.809,0.191,4.249,0.04,0.04,0.24,26.5294,1186.03,596.71,118.5,1901.24,62.4,31.4,6.2,0.834,0.166,5.035,0.02,0.04,0.37,Inf
rr_f1y01.ibi,8709,0,1408,400,829.5,820,93.3,80.6,4096,47,92,44,73.2,7.9,6.3,378,2647.08,1610.95,3612.84,7870.88,33.6,20.5,45.9,0.308,0.692,0.446,0,0.1,0.3,1070.82,694.7,1567.06,3332.57,32.1,20.8,47,0.307,0.693,0.443,0,0.13,0.3,0.011,0.005,0.012,0.028,40.3,17.3,42.5,0.289,0.711,0.406,0.01,0.14,0.16,65.1,114.7,2.243,0.844,0.716,0.941,172.13,642.34,1400.73,2215.2,7.8,29,63.2,0.314,0.686,0.459,0,0.1,0.3,0.17647,6.27,47.09,109.5,162.86,3.9,28.9,67.2,0.301,0.699,0.43,0.04,0.11,0.3,0.1199,1436.23,1553.7,3681.75,6671.67,21.5,23.3,55.2,0.297,0.703,0.422,0.01,0.1,0.29,14.3539
rr_f1y02.ibi,7037,0,1400,408,1027.8,1044,102.9,80.5,3183,45.2,76,51.5,59.1,7.1,6.9,403,4543.87,1842.4,2153.04,8539.31,53.2,21.6,25.2,0.461,0.539,0.856,0,0.06,0.25,2055.24,728.51,775.04,3558.79,57.8,20.5,21.8,0.485,0.515,0.94,0,0.04,0.26,0.005,0.002,0.002,0.009,57.1,20.8,22.1,0.484,0.516,0.94,0.01,0.05,0.16,53.7,135.2,2.227,1.042,0.938,1.075,359.12,758.19,839.4,1956.72,18.4,38.7,42.9,0.475,0.525,0.903,0.03,0.04,0.25,0.48457,13.59,66.56,78.26,158.4,8.6,42,49.4,0.46,0.54,0.85,0.04,0.04,0.25,0.35965,2989.72,1847.81,2205.85,7043.39,42.4,26.2,31.3,0.456,0.544,0.838,0.01,0.08,0.24,45.2109
rr_f1y03.ibi,7642,0,1228,732,951.7,948,65.8,53.2,1050,13.7,34.5,37.9,63.3,4.4,10.2,294.5,1753.05,1514.77,365.82,3633.65,48.2,41.7,10.1,0.805,0.195,4.141,0,0.09,0.17,688.55,606.87,140.64,1436.06,47.9,42.3,9.8,0.812,0.188,4.315,0,0.1,0.15,0.007,0.007,0.002,0.016,45,42.9,12.1,0.779,0.221,3.533,0.02,0.1,0.18,24.4,89.8,2.085,0.921,1.262,0.909,142.33,611.3,149.77,903.4,15.8,67.7,16.6,0.803,0.197,4.082,0,0.09,0.15,7.3276,5.26,46.43,13.95,65.64,8,70.7,21.3,0.769,0.231,3.328,0.04,0.09,0.38,10.439,1018.85,1504.8,426.28,2949.93,34.5,51,14.5,0.779,0.221,3.53,0.01,0.09,0.15,Inf
rr_f1y04.ibi,5510,0,1692,584,1312.6,1324,124.8,99.2,3690,67,110.6,68.5,46.2,5.1,7.2,484.8,7859.83,2307.6,2594.58,12762.01,61.6,18.1,20.3,0.471,0.529,0.889,0,0.12,0.31,3022.08,918.98,1262.52,5203.58,58.1,17.7,24.3,0.421,0.579,0.728,0,0.04,0.3,0.009,0.003,0.004,0.016,56,20,24,0.456,0.544,0.837,0.01,0.05,0.3,78.2,158.2,2.24,1.026,0.925,1.023,500.61,1005.68,1031.85,2538.13,19.7,39.6,40.7,0.494,0.506,0.975,0.04,0.04,0.31,0.57705,20.33,82.94,125.35,228.62,8.9,36.3,54.8,0.398,0.602,0.662,0.04,0.04,0.31,0.34402,4170.56,2284.03,2682.08,9136.67,45.6,25,29.4,0.46,0.54,0.852,0.01,0.04,0.3,91.121
rr_f1y05.ibi,6964,0,1364,664,1047,1056,102.3,74.9,1942,27.9,53.5,61.8,57.9,6.2,10.1,415.6,4486.97,2324.24,774.62,7585.83,59.1,30.6,10.2,0.75,0.25,3,0,0.08,0.3,1612.71,1057.29,323.1,2993.1,53.9,35.3,10.8,0.766,0.234,3.272,0,0.08,0.3,0.007,0.004,0.001,0.012,59.6,30.7,9.6,0.761,0.239,3.192,0,0.09,0.33,37.8,139.7,1.965,0.994,1.276,0.917,447.71,983.74,308.77,1740.22,25.7,56.5,17.7,0.761,0.239,3.186,0,0.04,0.31,4,18.3,82.1,32.69,133.09,13.8,61.7,24.6,0.715,0.285,2.512,0.04,0.04,0.31,3.4151,2930.53,2354.98,826.1,6111.61,48,38.5,13.5,0.74,0.26,2.851,0.01,0.08,0.3,Inf
rr_f1y06.ibi,7085,0,1732,640,1019.4,1032,101.8,86.1,2067,29.2,56,45.1,59.5,6.5,7,443.6,5685.54,2428.55,1021.83,9135.91,62.2,26.6,11.2,0.704,0.296,2.377,0,0.09,0.24,2068.85,886.88,346.95,3302.68,62.6,26.9,10.5,0.719,0.281,2.556,0,0.04,0.24,0.011,0.005,0.002,0.018,61.1,25.7,13.3,0.659,0.341,1.934,0.01,0.08,0.25,39.6,138.4,2.055,1.068,1.23,1.03,511.81,1082.08,407.67,2001.57,25.6,54.1,20.4,0.726,0.274,2.654,0.04,0.04,0.24,5.6667,16.79,82.33,38.71,137.83,12.2,59.7,28.1,0.68,0.32,2.127,0.04,0.04,0.24,4.8734,4400.66,2381.18,1090.88,7872.72,55.9,30.2,13.9,0.686,0.314,2.183,0.01,0.09,0.23,Inf
rr_f1y07.ibi,5949,0,1796,396,1215.9,1228,202.4,164.3,3743,62.9,136.6,113,50.9,9.4,12.2,1050,21786.59,8178.33,6291.36,36256.28,60.1,22.6,17.4,0.565,0.435,1.3,0,0.04,0.2,10370.54,3367.83,2588.66,16327.03,63.5,20.6,15.9,0.565,0.435,1.301,0,0.04,0.2,0.004,0.002,0.001,0.006,59.8,25.3,15,0.628,0.372,1.691,0.01,0.05,0.19,96.6,269.4,1.952,1.079,1.04,1.107,1457.8,3288.06,2441.88,7187.75,20.3,45.7,34,0.574,0.426,1.347,0.04,0.04,0.2,1.1963,57.01,272.06,233.83,562.9,10.1,48.3,41.5,0.538,0.462,1.164,0.04,0.04,0.2,1.0398,11707.35,8141.52,6471.75,26320.61,44.5,30.9,24.6,0.557,0.443,1.258,0.01,0.04,0.19,161.5169
rr_f1y08.ibi,7288,0,1228,624,1000.4,1012,93.2,75,2143,29.4,52,51.2,60.5,6.2,10.7,377.5,4334.04,1849.35,937.78,7121.18,60.9,26,13.2,0.664,0.336,1.972,0,0.09,0.34,1891.59,802.56,398.09,3092.25,61.2,26,12.9,0.668,0.332,2.016,0,0.11,0.15,0.007,0.003,0.002,0.012,61.3,24.1,14.7,0.621,0.379,1.639,0,0.05,0.19,36.8,126.6,2.033,1.052,1.171,1.037,368.22,802.08,375.44,1545.74,23.8,51.9,24.3,0.681,0.319,2.136,0.04,0.04,0.15,2.2333,14.59,66.91,37.08,118.58,12.3,56.4,31.3,0.643,0.357,1.804,0.04,0.04,0.15,2.4741,2944.85,1822.56,1012.74,5780.15,50.9,31.5,17.5,0.643,0.357,1.8,0.01,0.09,0.15,Inf
rr_f1y09.ibi,8020,0,1188,624,900.2,916,87.8,68.8,1507,18.8,41.4,49.4,67.3,7.1,10.2,370.1,4028.29,1981.25,589.99,6599.53,61,30,8.9,0.771,0.229,3.358,0,0.09,0.28,1638.35,706.88,247.46,2592.69,63.2,27.3,9.5,0.741,0.259,2.857,0,0.04,0.29,0.008,0.004,0.001,0.013,62.3,29.3,8.4,0.777,0.223,3.488,0,0.05,0.17,29.3,120.7,1.773,1.027,1.333,0.956,372.35,824.2,239.74,1436.3,25.9,57.4,16.7,0.775,0.225,3.438,0.04,0.04,0.27,5.4,15.55,69.38,24.4,109.33,14.2,63.5,22.3,0.74,0.26,2.844,0.04,0.04,0.28,5.8382,2312.2,2036.58,636.88,4985.66,46.4,40.8,12.8,0.762,0.238,3.198,0.01,0.04,0.27,Inf
rr_f1y10.ibi,8706,0,1272,324,831.9,824,92.1,74.7,2934,33.7,68.4,48.4,73.1,8.9,6.6,355.5,3300.5,2359.69,1888.58,7548.76,43.7,31.3,25,0.555,0.445,1.249,0,0.11,0.3,1377.51,872.07,667.26,2916.84,47.2,29.9,22.9,0.567,0.433,1.307,0,0.11,0.3,0.006,0.006,0.006,0.018,35.4,33.3,31.3,0.515,0.485,1.064,0,0.07,0.28,48.4,121,1.95,0.85,1.03,0.848,253.35,936.45,745.31,1935.11,13.1,48.4,38.5,0.557,0.443,1.256,0,0.08,0.3,1.1004,9.68,74.85,66.89,151.42,6.4,49.4,44.2,0.528,0.472,1.119,0.04,0.11,0.3,1.0844,1511.47,2362.22,1935.59,5809.28,26,40.7,33.3,0.55,0.45,1.22,0.02,0.1,0.29,602.5
rr_f2o01.ibi,7235,0,1404,436,968.9,980,85.6,58.1,745,10.3,96,50,62.6,8,5.5,302.5,1599.75,806.97,2172.25,4578.97,34.9,17.6,47.4,0.271,0.729,0.371,0,0.07,0.32,714.3,306.36,397.88,1418.54,50.4,21.6,28,0.435,0.565,0.77,0,0.1,0.22,0.003,0.003,0.003,0.009,37.6,29.9,32.5,0.479,0.521,0.919,0,0.08,0.23,67.9,100.2,1.509,0.727,0.622,0.77,84.62,320.81,852.56,1257.99,6.7,25.5,67.8,0.273,0.727,0.376,0,0.08,0.32,0.82745,4.05,29.67,40.76,74.48,5.4,39.8,54.7,0.421,0.579,0.728,0.04,0.07,0.21,0.72137,517.93,798.26,2139.9,3456.09,15,23.1,61.9,0.272,0.728,0.373,0.01,0.07,0.33,16.3062
rr_f2o02.ibi,6371,0,2068,492,1103.3,1104,54.1,40.8,443,7,59.7,28.2,54.5,3.2,2.2,197,1326.82,493.04,938.33,2758.19,48.1,17.9,34,0.344,0.656,0.525,0,0.06,0.28,714.28,319.23,418.69,1452.2,49.2,22,28.8,0.433,0.567,0.762,0,0.12,0.29,0.005,0.003,0.005,0.013,40.9,19.2,39.9,0.325,0.675,0.482,0,0.06,0.32,42.2,63.9,1.907,0.893,0.686,0.935,81.82,202.1,354.33,638.25,12.8,31.7,55.5,0.363,0.637,0.57,0.04,0.04,0.29,0.44136,2.88,14.47,27.52,44.86,6.4,32.2,61.3,0.345,0.655,0.526,0.04,0.04,0.29,0.34627,588.8,525.95,977.51,2092.26,28.1,25.1,46.7,0.35,0.65,0.538,0.01,0.06,0.28,44.0513
rr_f2o03.ibi,6540,0,1596,476,1070.7,1076,48.9,30.4,512,7.8,41.1,33.1,56.2,2.9,2.9,210,1298.39,258.96,460.77,2018.11,64.3,12.8,22.8,0.36,0.64,0.562,0,0.14,0.3,377.31,88.56,208.1,673.96,56,13.1,30.9,0.299,0.701,0.426,0,0.12,0.32,0.005,0.001,0.002,0.009,58.1,16.2,25.7,0.386,0.614,0.629,0,0.04,0.3,29,62.7,1.864,0.973,0.725,1.028,50.98,105.9,164.47,321.35,15.9,33,51.2,0.392,0.608,0.644,0.04,0.04,0.3,0.57095,1.88,8.15,11.93,21.97,8.6,37.1,54.3,0.406,0.594,0.683,0.04,0.04,0.3,0.30814,366.73,266.1,456.85,1089.69,33.7,24.4,41.9,0.368,0.632,0.582,0.01,0.04,0.3,141.8878
rr_f2o04.ibi,6901,0,1276,792,1019.3,1028,53.7,36.6,813,11.8,33.4,37.3,59,3.3,7.1,196.6,1573.76,363.71,484.74,2422.21,65,15,20,0.429,0.571,0.75,0,0.04,0.23,604.25,117.57,188.51,910.33,66.4,12.9,20.7,0.384,0.616,0.624,0,0.04,0.23,0.002,0.001,0.001,0.004,65.2,16.1,18.7,0.463,0.537,0.863,0,0.05,0.22,23.6,72.1,2.117,0.948,0.909,0.94,80.11,156.47,188.9,425.49,18.8,36.8,44.4,0.453,0.547,0.828,0.04,0.04,0.22,0.25876,3.35,12.69,16.31,32.35,10.4,39.2,50.4,0.438,0.562,0.778,0.04,0.04,0.23,0.27401,486.28,382.9,500.16,1369.33,35.5,28,36.5,0.434,0.566,0.766,0.01,0.04,0.22,17.6071
rr_f2o05.ibi,8468,0,1188,212,831.4,840,48.6,30.9,166,2,39.1,31.8,72.5,6.7,3.7,213.5,497.06,208.62,275.32,981,50.7,21.3,28.1,0.431,0.569,0.758,0,0.13,0.33,223.57,88.27,107.09,418.92,53.4,21.1,25.6,0.452,0.548,0.824,0,0.04,0.33,0.009,0.005,0.008,0.023,38.8,23.9,37.4,0.39,0.61,0.639,0.03,0.04,0.18,27.7,62.9,0.92,0.885,0.906,0.843,65.7,91.89,106.89,264.48,24.8,34.7,40.4,0.462,0.538,0.86,0.04,0.04,0.34,4.087,2.74,10.67,13.84,27.24,10.1,39.2,50.8,0.435,0.565,0.771,0.04,0.04,0.29,4.2907,344.46,212.15,275.14,831.75,41.4,25.5,33.1,0.435,0.565,0.771,0.03,0.04,0.4,111.64
rr_f2o06.ibi,5248,0,1644,264,1337.5,1344,86.8,70.3,1110,21.2,51.6,41.2,45.1,4.4,4.4,345,4699.85,1550.89,733.12,6983.87,67.3,22.2,10.5,0.679,0.321,2.115,0,0.06,0.23,1729.74,612.64,247.35,2589.73,66.8,23.7,9.6,0.712,0.288,2.477,0,0.04,0.23,0.006,0.002,0.002,0.01,60.9,23.4,15.7,0.598,0.402,1.489,0.01,0.07,0.22,36.5,117.2,1.85,1.027,1.251,0.942,405.04,684.46,268.79,1358.29,29.8,50.4,19.8,0.718,0.282,2.546,0.03,0.04,0.22,4.9744,13.94,56.26,32.51,102.71,13.6,54.8,31.6,0.634,0.366,1.731,0.04,0.04,0.22,3.8172,3361.71,1526.72,695.07,5583.5,60.2,27.3,12.4,0.687,0.313,2.197,0.01,0.07,0.21,437.625
rr_f2o07.ibi,5943,0,1400,768,1183,1180,45,36.3,265,4.5,30.9,24.8,50.8,2,5.3,197.5,1353.53,317.03,243.13,1913.69,70.7,16.6,12.7,0.566,0.434,1.304,0,0.15,0.24,596.79,117.13,99.19,813.11,73.4,14.4,12.2,0.541,0.459,1.181,0,0.04,0.24,0.006,0.001,0.001,0.008,72.3,15.6,12.1,0.564,0.436,1.292,0,0.06,0.26,21.9,59.8,1.874,1.051,1.108,0.974,102.32,146.24,104.42,352.99,29,41.4,29.6,0.583,0.417,1.401,0.04,0.04,0.26,1.5944,3.58,11.14,8.95,23.68,15.1,47.1,37.8,0.554,0.446,1.245,0.04,0.04,0.25,1.2843,838.14,318.4,257.94,1414.48,59.3,22.5,18.2,0.552,0.448,1.234,0.01,0.04,0.25,237.2881
rr_f2o08.ibi,7093,0,1704,232,990.7,1016,196.5,175.2,2275,32.1,308.2,37.2,64.5,21.6,3.3,230,2063.68,3082.56,25884.36,31030.59,6.7,9.9,83.4,0.106,0.894,0.119,0,0.12,0.37,974.29,1732.54,13487.1,16193.93,6,10.7,83.3,0.114,0.886,0.128,0,0.15,0.28,0.003,0.004,0.016,0.023,11.1,19.1,69.8,0.215,0.785,0.273,0,0.08,0.23,218,172.4,1.009,0.522,0.387,0.593,259.11,1268.02,10107.59,11634.72,2.2,10.9,86.9,0.111,0.889,0.125,0,0.15,0.34,0.16169,13.26,95.14,365.41,473.81,2.8,20.1,77.1,0.207,0.793,0.26,0.04,0.04,0.37,0.11911,1134.61,3029.88,25026.83,29191.32,3.9,10.4,85.7,0.108,0.892,0.121,0.01,0.15,0.38,1.971
rr_f2o09.ibi,6148,0,1628,240,1145.6,1144,77.5,54.8,269,4.4,53.7,41,52.7,6.4,3.3,303.6,2070.93,1247.8,675.94,3994.67,51.8,31.2,16.9,0.649,0.351,1.846,0,0.13,0.22,884.26,506.96,318.91,1710.13,51.7,29.6,18.6,0.614,0.386,1.59,0,0.04,0.22,0.011,0.01,0.006,0.027,39.3,37.7,23,0.621,0.379,1.635,0.01,0.04,0.23,38,102.8,1.681,0.875,1.14,0.78,336.78,551.57,289.32,1177.68,28.6,46.8,24.6,0.656,0.344,1.906,0.04,0.04,0.3,14.6,13.78,51.17,34.95,99.89,13.8,51.2,35,0.594,0.406,1.464,0.04,0.04,0.17,14.0333,1346.24,1393.75,773.61,3513.61,38.3,39.7,22,0.643,0.357,1.802,0.02,0.04,0.29,484.6897
